chunk_size,overlap,run_number,processing_time_ms,redis_indexing_time_ms,redis_query_time_ms,memory_usage_mb
200.0,0.0,1.0,62346.848487854004,432.99198150634766,13.878345489501953,188.48828125
200.0,0.0,2.0,53741.58263206482,308.05492401123047,3.013134002685547,189.125
200.0,0.0,3.0,49753.13973426819,258.30769538879395,6.750583648681641,189.609375
200.0,0.0,4.0,57002.45141983032,271.09289169311523,3.015756607055664,189.30859375
200.0,0.0,5.0,66549.90291595459,362.579345703125,3.9980411529541016,189.3671875
200.0,50.0,1.0,48588.09041976929,300.74238777160645,2.6426315307617188,189.72265625
200.0,50.0,2.0,47029.24704551697,246.64783477783203,2.0012855529785156,190.05078125
200.0,50.0,3.0,40508.5175037384,271.2407112121582,2.1734237670898438,189.64453125
200.0,50.0,4.0,43534.94095802307,267.8065299987793,2.0012855529785156,189.6953125
200.0,50.0,5.0,39628.7317276001,252.41351127624512,1.7604827880859375,189.7421875
200.0,100.0,1.0,40967.599391937256,351.5636920928955,1.7008781433105469,189.5078125
200.0,100.0,2.0,40091.19939804077,265.9749984741211,6.65736198425293,189.828125
200.0,100.0,3.0,41055.99927902222,281.6047668457031,2.0122528076171875,190.08203125
200.0,100.0,4.0,40755.72752952576,254.03308868408203,2.0151138305664062,189.88671875
200.0,100.0,5.0,50689.743518829346,292.1454906463623,3.0083656311035156,189.41796875
500.0,0.0,1.0,51066.444873809814,259.1724395751953,1.7457008361816406,189.7734375
500.0,0.0,2.0,51161.82589530945,341.7227268218994,2.729177474975586,189.68359375
500.0,0.0,3.0,44118.98112297058,250.70428848266602,1.8091201782226562,189.8046875
500.0,0.0,4.0,44368.46947669983,254.88734245300293,2.012968063354492,189.28125
500.0,0.0,5.0,43485.2409362793,312.09659576416016,2.612590789794922,165.390625
500.0,50.0,1.0,44372.05457687378,243.93320083618164,1.7704963684082031,165.11328125
500.0,50.0,2.0,42313.34567070007,249.4332790374756,1.8703937530517578,165.3671875
500.0,50.0,3.0,59927.61445045471,275.07519721984863,2.6214122772216797,165.25390625
500.0,50.0,4.0,43624.86410140991,264.9381160736084,2.3276805877685547,165.125
500.0,50.0,5.0,47697.031021118164,260.24723052978516,1.0085105895996094,164.9140625
500.0,100.0,1.0,40691.405057907104,270.9677219390869,1.611471176147461,165.3203125
500.0,100.0,2.0,44066.685914993286,352.74338722229004,4.000186920166016,110.12890625
500.0,100.0,3.0,54750.10299682617,323.90713691711426,2.1843910217285156,110.109375
500.0,100.0,4.0,41554.895877838135,258.5258483886719,2.0127296447753906,110.15625
500.0,100.0,5.0,41569.16952133179,244.97103691101074,1.735687255859375,110.16015625
1000.0,0.0,1.0,52900.50959587097,387.0415687561035,4.003763198852539,109.80859375
1000.0,0.0,2.0,51606.467962265015,267.26841926574707,1.7116069793701172,110.2109375
1000.0,0.0,3.0,41837.15581893921,255.1119327545166,3.0345916748046875,100.26953125
1000.0,0.0,4.0,41972.360610961914,256.9239139556885,2.5658607482910156,98.8125
1000.0,0.0,5.0,55542.455434799194,517.6060199737549,3.4019947052001953,98.48828125
1000.0,50.0,1.0,49723.11091423035,252.17413902282715,2.0096302032470703,98.859375
1000.0,50.0,2.0,57923.49195480347,380.5687427520752,4.031181335449219,98.49609375
1000.0,50.0,3.0,58707.29637145996,288.56563568115234,4.5490264892578125,99.00390625
1000.0,50.0,4.0,44433.040142059326,255.92970848083496,2.053976058959961,91.0078125
1000.0,50.0,5.0,44153.15508842468,230.4227352142334,2.007007598876953,91.046875
1000.0,100.0,1.0,41553.77769470215,282.84454345703125,2.0079612731933594,91.1015625
1000.0,100.0,2.0,55147.69196510315,280.836820602417,2.016782760620117,90.9921875
1000.0,100.0,3.0,45786.139726638794,433.19153785705566,2.9878616333007812,90.78515625
1000.0,100.0,4.0,41691.01643562317,250.53787231445312,2.0160675048828125,90.87109375
1000.0,100.0,5.0,39019.317626953125,269.78111267089844,2.8367042541503906,90.82421875
2000.0,0.0,1.0,39655.98702430725,248.09741973876953,3.011465072631836,89.86328125
2000.0,0.0,2.0,41831.83670043945,306.44774436950684,2.026081085205078,89.7734375
2000.0,0.0,3.0,40293.31636428833,260.0371837615967,2.4039745330810547,90.12890625
2000.0,0.0,4.0,39867.46263504028,354.5253276824951,2.990245819091797,89.765625
2000.0,0.0,5.0,41798.723459243774,243.79730224609375,1.7368793487548828,89.77734375
2000.0,50.0,1.0,41044.52896118164,273.82779121398926,3.999948501586914,89.89453125
2000.0,50.0,2.0,40420.684814453125,264.99104499816895,2.010345458984375,89.83984375
2000.0,50.0,3.0,38953.8996219635,246.60682678222656,2.4251937866210938,86.140625
2000.0,50.0,4.0,41831.679344177246,232.8953742980957,2.023935317993164,86.2109375
2000.0,50.0,5.0,41110.4998588562,244.51971054077148,2.429485321044922,86.1875
2000.0,100.0,1.0,49449.780225753784,250.78845024108887,2.6428699493408203,85.875
2000.0,100.0,2.0,47443.34030151367,257.3580741882324,1.9998550415039062,86.12890625
2000.0,100.0,3.0,46795.111656188965,308.8564872741699,2.012491226196289,85.84765625
2000.0,100.0,4.0,51647.08614349365,251.18660926818848,2.0034313201904297,86.1328125
2000.0,100.0,5.0,47826.30753517151,415.62962532043457,3.637552261352539,83.21875
